DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AW1,REM
06-07T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0135,1","+0127,1","99999,9",,SYN042AAXX  07031 02602 45/// /0000 10135 20127;
06-07T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0136,1","+0122,1","99999,9",,SYN042AAXX  07061 02602 45/// /0000 10136 20122;
06-07T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0143,1","+0127,1","99999,9",,SYN042AAXX  07091 02602 45/// /0000 10143 20127;
06-07T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0030,1","99999,9,9,N","999999,9,N,1","+0191,1","+0121,1","99999,9",,SYN042AAXX  07121 02602 45/// /1803 10191 20121;
06-07T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0160,1","+0148,1","99999,9","60,1",SYN048AAXX  07151 02602 47/// /0000 10160 20148 760//;
06-07T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","+0150,1","+0144,1","99999,9","60,1",SYN048AAXX  07181 02602 47/// /1802 10150 20144 760//;
06-07T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0140,1","+0132,1","99999,9",,SYN042AAXX  07211 02602 45/// /1801 10140 20132;
06-08T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0118,1","+0104,1","99999,9",,SYN042AAXX  08001 02602 45/// /1801 10118 20104;
06-08T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0110,1","+0086,1","99999,9",,SYN042AAXX  08031 02602 45/// /0501 10110 20086;
06-08T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0124,1","+0091,1","99999,9",,SYN042AAXX  08061 02602 45/// /3601 10124 20091;
06-08T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0030,1","99999,9,9,N","999999,9,N,1","+0141,1","+0096,1","99999,9",,SYN042AAXX  08091 02602 45/// /3603 10141 20096;
