DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,MA1,REM,EQD
01-05T05:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","-0029,1","+9999,9","99999,9","99999,9,09682,1",SYN054AAXX  05051 89266 46/// ///02 11029 39682 4//// 5////;,
01-05T06:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","-0024,1","+9999,9","99999,9",,SYN048AAXX  0506/ 89266 46/// ///// 11024 4//// 5////;,
01-05T07:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","-0024,1","+9999,9","99999,9","99999,9,09683,1",SYN054AAXX  05071 89266 46/// /36// 11024 39683 4//// 5////;,
01-05T08:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","-0019,1","+9999,9","99999,9","99999,9,09685,1",SYN054AAXX  05081 89266 46/// /01// 11019 39685 4//// 5////;,
01-05T09:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"070,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0014,1","+9999,9","99999,9","99999,9,09684,1",SYN054AAXX  05091 89266 46/// /0701 11014 39684 4//// 5////;,
01-05T13:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"160,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0016,1","+9999,9","99999,9","99999,9,09681,1",SYN054AAXX  05131 89266 46/// /1604 11016 39681 4//// 5////;,
01-05T14:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"150,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0020,1","+9999,9","99999,9","99999,9,09680,1",SYN054AAXX  05141 89266 46/// /1504 11020 39680 4//// 5////;,
01-05T15:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"150,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0011,1","+9999,9","99999,9","99999,9,09680,1",SYN054AAXX  05151 89266 46/// /1504 11011 39680 4//// 5////;,
01-05T17:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"140,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0006,1","+9999,9","99999,9","99999,9,09679,1",SYN054AAXX  05171 89266 46/// /1403 11006 39679 4//// 5////;,
01-05T18:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"140,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0008,1","+9999,9","99999,9",,SYN048AAXX  05181 89266 46/// /1403 11008 4//// 5////;,
01-05T19:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"140,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0009,1","+9999,9","99999,9","99999,9,09679,1",SYN054AAXX  05191 89266 46/// /1403 11009 39679 4//// 5////;,
01-05T20:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"130,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0014,1","+9999,9","99999,9","99999,9,09680,1",SYN054AAXX  05201 89266 46/// /1303 11014 39680 4//// 5////;,
01-05T21:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"110,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0018,1","+9999,9","99999,9","99999,9,09681,1",SYN054AAXX  05211 89266 46/// /1102 11018 39681 4//// 5////;,
01-05T22:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"110,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0023,1","+9999,9","99999,9","99999,9,09680,1",SYN054AAXX  05221 89266 46/// /1102 11023 39680 4//// 5////;,
01-05T23:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"110,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0029,1","+9999,9","99999,9","99999,9,09680,1",SYN054AAXX  05231 89266 46/// /1102 11029 39680 4//// 5////;,
01-06T00:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"110,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0033,1","+9999,9","99999,9","99999,9,09681,1",SYN054AAXX  06001 89266 46/// /1102 11033 39681 4//// 5////;,
01-06T01:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"110,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0038,1","+9999,9","99999,9","99999,9,09680,1",SYN054AAXX  06011 89266 46/// /1102 11038 39680 4//// 5////;,
01-06T02:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"110,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0038,1","+9999,9","99999,9","99999,9,09680,1",SYN054AAXX  06021 89266 46/// /1102 11038 39680 4//// 5////;,
01-06T03:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"100,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0041,1","+9999,9","99999,9","99999,9,09680,1",SYN054AAXX  06031 89266 46/// /1002 11041 39680 4//// 5////;,
01-06T04:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"070,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0038,1","+9999,9","99999,9","99999,9,09681,1",SYN054AAXX  06041 89266 46/// /0701 11038 39681 4//// 5////;,
01-06T05:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"060,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0040,1","+9999,9","99999,9","99999,9,09681,1",SYN054AAXX  06051 89266 46/// /0601 11040 39681 4//// 5////;,
01-06T06:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"080,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0038,1","+9999,9","99999,9","99999,9,09681,1",SYN054AAXX  06061 89266 46/// /0801 11038 39681 4//// 5////;,
01-06T07:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"090,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0041,1","+9999,9","99999,9","99999,9,09682,1",SYN054AAXX  06071 89266 46/// /0901 11041 39682 4//// 5////;,
01-06T08:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"080,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0030,1","+9999,9","99999,9","99999,9,09683,1",SYN054AAXX  06081 89266 46/// /0801 11030 39683 4//// 5////;,
